route,direction,cctp_n,cctp_Q1,cctp_Q2,cctp_Q3,cctp_IQR,ccip_n,ccip_Q1,ccip_Q2,ccip_Q3,ccip_IQR,stargate_oft_n,stargate_oft_Q1,stargate_oft_Q2,stargate_oft_Q3,stargate_oft_IQR,stargate_bus_n,stargate_bus_Q1,stargate_bus_Q2,stargate_bus_Q3,stargate_bus_IQR,across_n,across_Q1,across_Q2,across_Q3,across_IQR
ethereum -> avalanche,L1->L1,2211,2.62,5.56,11.25,8.63,113,11.24,14.87,17.51,6.27,1676,3.95,7.62,12.44,8.49,374,2.29,4.47,9.42,7.13,,,,,
ethereum -> bnb,L1->L1,,,,,,591,10.05,12.15,16.79,6.73,9129,3.29,6.62,12.02,8.73,2945,1.72,4.08,9.68,7.96,,,,,
avalanche -> ethereum,L1->L1,4126,0.12,0.20,0.33,0.21,71,18.15,23.26,30.50,12.36,1408,0.10,0.18,0.28,0.18,1085,1.62,4.50,13.05,11.43,,,,,
avalanche -> bnb,L1->L1,,,,,,303,2.57,2.94,3.31,0.74,6279,0.09,0.16,0.30,0.21,4219,0.29,0.43,0.71,0.43,,,,,
bnb -> avalanche,L1->L1,,,,,,457,2.49,2.61,2.82,0.32,6896,0.15,0.22,0.44,0.29,2726,0.34,0.47,0.82,0.48,,,,,
bnb -> ethereum,L1->L1,,,,,,286,18.22,25.11,33.99,15.77,13327,0.17,0.30,0.47,0.30,8684,1.67,3.58,8.61,6.94,,,,,
ethereum -> base,L1->L2,23882,1.51,3.51,7.73,6.22,461,9.32,12.87,18.71,9.39,27002,2.84,5.53,9.83,6.99,16476,1.26,2.56,4.89,3.63,279910,2.04,3.47,5.80,3.76
ethereum -> arbitrum,L1->L2,17135,2.14,4.39,8.53,6.39,443,7.94,11.40,18.42,10.48,22117,1.93,4.00,7.30,5.37,20554,0.91,2.08,3.93,3.02,94264,1.41,2.98,5.68,4.26
ethereum -> optimism,L1->L2,3964,1.85,3.88,8.58,6.73,22,9.52,16.49,21.97,12.45,3656,1.59,3.43,6.36,4.77,3635,0.86,1.79,3.38,2.52,23022,1.17,2.63,5.14,3.97
ethereum -> linea,L1->L2,,,,,,2,8.68,8.77,8.85,0.16,2214,1.87,3.08,5.42,3.55,8017,1.01,2.06,3.17,2.16,25856,1.00,1.96,3.88,2.89
ethereum -> scroll,L1->L2,,,,,,,,,,,1647,2.42,4.31,7.98,5.56,6078,1.01,1.75,2.92,1.90,4467,0.68,1.89,3.64,2.97
avalanche -> base,L1->L2,14238,0.13,0.23,0.39,0.26,126,1.80,2.11,2.29,0.49,8870,0.09,0.13,0.24,0.15,3349,0.16,0.26,0.41,0.25,,,,,
avalanche -> arbitrum,L1->L2,18619,0.15,0.24,0.35,0.20,110,1.87,2.20,2.38,0.51,15122,0.10,0.12,0.16,0.07,9411,0.14,0.21,0.40,0.26,,,,,
avalanche -> optimism,L1->L2,5401,0.10,0.18,0.28,0.18,10,0.35,0.52,0.73,0.38,4856,0.10,0.13,0.21,0.11,2406,0.15,0.21,0.36,0.22,,,,,
avalanche -> linea,L1->L2,,,,,,2,3.75,3.76,3.77,0.02,,,,,,,,,,,,,,,
avalanche -> scroll,L1->L2,,,,,,,,,,,536,0.27,0.35,0.50,0.22,1009,0.32,0.43,0.63,0.31,,,,,
bnb -> base,L1->L2,,,,,,2060,0.51,0.72,0.90,0.39,38792,0.19,0.22,0.44,0.25,14569,0.24,0.34,0.61,0.37,,,,,
bnb -> arbitrum,L1->L2,,,,,,358,0.53,1.28,2.05,1.52,43525,0.12,0.20,0.29,0.17,31172,0.15,0.24,0.36,0.21,,,,,
bnb -> optimism,L1->L2,,,,,,2,0.36,0.37,0.39,0.03,13400,0.12,0.20,0.28,0.16,6966,0.15,0.22,0.33,0.18,,,,,
bnb -> linea,L1->L2,,,,,,2,4.37,4.37,4.37,0.00,,,,,,,,,,,,,,,
bnb -> scroll,L1->L2,,,,,,,,,,,955,0.32,0.41,0.75,0.43,2305,0.35,0.47,0.69,0.34,,,,,
arbitrum -> avalanche,L2->L1,9209,0.01,0.01,0.02,0.01,305,2.32,2.39,2.46,0.14,50579,0.01,0.01,0.02,0.02,5834,0.18,0.31,0.84,0.66,,,,,
arbitrum -> ethereum,L2->L1,13679,0.01,0.01,0.02,0.01,363,16.69,23.79,32.89,16.20,46740,0.01,0.01,0.02,0.01,69393,0.69,1.62,3.46,2.77,84100,2.70,5.57,9.83,7.13
arbitrum -> bnb,L2->L1,,,,,,1041,1.32,2.21,2.91,1.59,155311,0.01,0.01,0.64,0.63,21385,0.13,0.17,0.32,0.19,,,,,
optimism -> avalanche,L2->L1,3819,0.00,0.00,0.03,0.03,3,--,--,--,--,5487,0.00,0.00,0.00,0.00,2173,0.18,0.28,0.86,0.68,,,,,
optimism -> ethereum,L2->L1,3267,0.00,0.00,0.01,0.01,18,--,--,--,--,4406,0.00,0.00,0.00,0.00,25077,0.57,1.20,2.56,1.99,23771,2.29,4.59,8.12,5.83
optimism -> bnb,L2->L1,,,,,,1,--,--,--,--,11765,0.00,0.00,0.00,0.00,8578,0.12,0.15,0.22,0.10,,,,,
base -> avalanche,L2->L1,8598,0.00,0.01,0.02,0.01,308,2.32,2.38,2.45,0.13,8046,0.00,0.00,0.01,0.01,2326,0.16,0.28,0.87,0.71,,,,,
base -> ethereum,L2->L1,22272,0.00,0.00,0.01,0.01,353,19.42,26.64,36.63,17.21,14987,0.00,0.00,0.01,0.01,56950,0.62,1.54,3.76,3.14,140641,3.95,6.71,10.72,6.77
base -> bnb,L2->L1,,,,,,676,1.36,2.09,2.85,1.48,26418,0.00,0.01,0.02,0.01,10240,0.13,0.17,0.30,0.16,,,,,
linea -> avalanche,L2->L1,,,,,,2,0.10,0.10,0.10,0.01,,,,,,,,,,,,,,,
linea -> ethereum,L2->L1,,,,,,2,0.09,0.10,0.10,0.01,4279,0.01,0.02,0.05,0.03,67065,1.41,2.50,4.44,3.03,17289,2.14,3.95,7.19,5.05
linea -> bnb,L2->L1,,,,,,2,0.09,0.10,0.10,0.01,,,,,,,,,,,,,,,
scroll -> avalanche,L2->L1,,,,,,,,,,,649,0.06,0.09,0.15,0.10,855,0.18,0.24,0.38,0.20,,,,,
scroll -> ethereum,L2->L1,,,,,,,,,,,2894,0.05,0.07,0.11,0.06,27824,1.18,2.16,3.53,2.35,7679,2.62,4.69,6.88,4.26
scroll -> bnb,L2->L1,,,,,,,,,,,1961,0.06,0.09,0.13,0.07,3745,0.16,0.20,0.28,0.12,,,,,
arbitrum -> base,L2->L2,76498,0.02,0.03,0.04,0.02,450,0.34,0.44,1.00,0.66,576116,0.01,0.01,0.01,0.01,208847,0.02,0.03,0.06,0.03,439916,0.01,0.02,0.05,0.04
arbitrum -> optimism,L2->L2,24770,0.01,0.02,0.03,0.02,28,0.27,0.31,0.35,0.09,411998,0.01,0.01,0.02,0.01,133141,0.02,0.03,0.04,0.02,141592,0.01,0.03,0.09,0.07
arbitrum -> linea,L2->L2,,,,,,4,3.53,3.61,3.69,0.16,36935,0.01,0.01,0.01,0.01,69355,0.08,0.11,0.16,0.09,197122,0.07,0.09,0.14,0.07
arbitrum -> scroll,L2->L2,,,,,,,,,,,24070,0.01,0.01,0.02,0.01,110142,0.17,0.19,0.28,0.11,43424,0.07,0.11,0.17,0.09
optimism -> base,L2->L2,38762,0.00,0.00,0.02,0.02,68,--,--,--,--,181804,0.00,0.00,0.00,0.00,175736,0.02,0.03,0.04,0.02,264441,0.01,0.02,0.05,0.04
optimism -> arbitrum,L2->L2,35364,0.00,0.00,0.05,0.05,23,--,--,--,--,170302,0.00,0.00,0.00,0.00,167702,0.02,0.03,0.04,0.02,161243,0.02,0.04,0.09,0.06
optimism -> linea,L2->L2,,,,,,,,,,,22221,0.00,0.00,0.00,0.00,53572,0.09,0.13,0.18,0.08,147027,0.07,0.09,0.14,0.07
optimism -> scroll,L2->L2,,,,,,,,,,,11776,0.00,0.00,0.05,0.04,77823,0.17,0.18,0.26,0.09,25391,0.07,0.11,0.16,0.09
base -> arbitrum,L2->L2,71532,0.01,0.01,0.02,0.02,379,0.35,0.45,1.79,1.44,250438,0.00,0.00,0.01,0.01,198497,0.03,0.03,0.06,0.03,278554,0.02,0.04,0.08,0.06
base -> optimism,L2->L2,37235,0.00,0.01,0.02,0.01,84,0.27,0.29,0.35,0.07,122690,0.00,0.01,0.01,0.01,139906,0.02,0.02,0.03,0.02,199692,0.01,0.02,0.07,0.06
base -> linea,L2->L2,,,,,,2,3.66,3.67,3.67,0.01,55973,0.00,0.00,0.01,0.00,87467,0.08,0.11,0.17,0.09,170460,0.06,0.08,0.13,0.06
base -> scroll,L2->L2,,,,,,,,,,,22668,0.00,0.01,0.01,0.01,102918,0.18,0.20,0.31,0.13,50025,0.07,0.10,0.15,0.09
linea -> base,L2->L2,,,,,,2,0.09,0.09,0.09,0.00,194370,0.01,0.02,0.04,0.03,351275,0.03,0.05,0.08,0.04,161071,0.03,0.05,0.12,0.09
linea -> arbitrum,L2->L2,,,,,,3,0.09,0.09,0.10,0.01,143954,0.01,0.02,0.04,0.03,298289,0.04,0.05,0.09,0.05,153007,0.04,0.07,0.14,0.10
linea -> optimism,L2->L2,,,,,,,,,,,54518,0.01,0.02,0.05,0.03,169524,0.03,0.05,0.06,0.03,84983,0.03,0.08,0.12,0.09
linea -> scroll,L2->L2,,,,,,,,,,,32828,0.01,0.02,0.05,0.03,171559,0.20,0.23,0.31,0.11,27855,0.09,0.12,0.19,0.10
scroll -> base,L2->L2,,,,,,,,,,,61261,0.04,0.05,0.08,0.05,144840,0.04,0.06,0.09,0.05,79877,0.03,0.04,0.08,0.05
scroll -> arbitrum,L2->L2,,,,,,,,,,,57660,0.04,0.06,0.09,0.06,164736,0.05,0.06,0.09,0.04,56345,0.04,0.07,0.12,0.08
scroll -> optimism,L2->L2,,,,,,,,,,,22812,0.04,0.06,0.09,0.05,83714,0.04,0.04,0.06,0.02,31147,0.02,0.04,0.09,0.07
scroll -> linea,L2->L2,,,,,,,,,,,35445,0.02,0.03,0.05,0.03,82042,0.11,0.15,0.21,0.10,47078,0.08,0.12,0.18,0.10
